    °„C	        No	    CH0	            CH1	            CH2	            CH3
39.210	306	0.1193823886	1295.2422973658	0.4657594243	-0.3074215834
39.236	307	0.1193928790	1293.8923414881	0.4656881372	-0.3073558991
39.263	308	0.1194037270	1292.5423856105	0.4656263867	-0.3072952215
39.299	309	0.1194180321	1291.1943072792	0.4655602256	-0.3072400276
39.322	310	0.1194273305	1289.8512357385	0.4654907266	-0.3071786348
39.353	311	0.1194397282	1288.5062866513	0.4654280225	-0.3071165268
39.385	312	0.1194524836	1287.1700994474	0.4653601924	-0.3070593063
39.417	313	0.1194652390	1285.8314088483	0.4652953425	-0.3069983904
39.448	314	0.1194776368	1284.4964733420	0.4652285853	-0.3069387857
39.469	315	0.1194862199	1283.1584085917	0.4651639739	-0.3068784658
39.503	316	0.1194998097	1281.8341125151	0.4650981703	-0.3068173115
39.523	317	0.1195077967	1280.5023062529	0.4650346318	-0.3067537729
39.556	318	0.1195209098	1279.1723775370	0.4649650136	-0.3066924993
39.576	319	0.1195288968	1277.8499590069	0.4648973027	-0.3066295568
39.603	320	0.1195398640	1276.5294180232	0.4648349562	-0.3065674488
39.630	321	0.1195505929	1275.2082511907	0.4647689143	-0.3065056984
39.653	322	0.1195597720	1273.8864585094	0.4647016802	-0.3064462129
39.691	323	0.1195751500	1272.5728018625	0.4646331349	-0.3063818399
39.718	324	0.1195857596	1271.2578935181	0.4645669737	-0.3063183013
39.750	325	0.1195987534	1269.9511212081	0.4645045080	-0.3062540475
39.779	326	0.1196103167	1268.6355870149	0.4644397774	-0.3061917011
39.819	327	0.1196261716	1267.3288147049	0.4643731394	-0.3061264936
39.834	328	0.1196321320	1266.0189131510	0.4643069782	-0.3060629550
39.877	329	0.1196496558	1264.7133925386	0.4642383137	-0.3059988204
39.900	330	0.1196588349	1263.4141304144	0.4641764441	-0.3059323016
39.920	331	0.1196667027	1262.1148682901	0.4641095676	-0.3058655444
39.957	332	0.1196813655	1260.8181095611	0.4640441217	-0.3058021251
39.989	333	0.1196941209	1259.5182215880	0.4639766493	-0.3057350103
40.016	334	0.1197049689	1258.2258438007	0.4639144220	-0.3056693259
40.046	335	0.1197168898	1256.9328401645	0.4638496914	-0.3056004230
40.081	336	0.1197309565	1255.6473467140	0.4637829342	-0.3055375997
40.103	337	0.1197400164	1254.3606015659	0.4637173691	-0.3054720345
40.127	338	0.1197494340	1253.0757339642	0.4636501350	-0.3054070655
40.149	339	0.1197581363	1251.7896146649	0.4635858812	-0.3053381625
40.188	340	0.1197739911	1250.5103797025	0.4635218658	-0.3052735511
40.214	341	0.1197843623	1249.2261379496	0.4634552278	-0.3052066746
40.243	342	0.1197959256	1247.9475288360	0.4633885898	-0.3051383677
40.272	343	0.1198074889	1246.6745523616	0.4633229055	-0.3050729218
40.298	344	0.1198178601	1245.4047051313	0.4632566251	-0.3050058070
40.331	345	0.1198310923	1244.1298511106	0.4631934442	-0.3049472752
40.365	346	0.1198448014	1242.8587521826	0.4631296672	-0.3048832598
40.387	347	0.1198536229	1241.5914083476	0.4630639829	-0.3048198405
40.415	348	0.1198648286	1240.3303230006	0.4629963912	-0.3047625008
40.441	349	0.1198750806	1239.0636050143	0.4629328527	-0.3047046843
40.469	350	0.1198864055	1237.8081523066	0.4628663339	-0.3046461525
40.492	351	0.1198954654	1236.5476928084	0.4628031530	-0.3045872631
40.516	352	0.1199052405	1235.2841040661	0.4627367534	-0.3045271817
40.556	353	0.1199212146	1234.0324064512	0.4626702346	-0.3044738951
40.580	354	0.1199306321	1232.7782054411	0.4626055040	-0.3044132176
40.611	355	0.1199430299	1231.5302629191	0.4625405349	-0.3043557587
40.636	356	0.1199532819	1230.2791911530	0.4624783076	-0.3042977038
40.666	357	0.1199649644	1229.0287452357	0.4624131001	-0.3042416754
40.694	358	0.1199764085	1227.7814285625	0.4623469390	-0.3041924420
40.726	359	0.1199889255	1226.5416220749	0.4622824468	-0.3041323605
40.749	360	0.1199983430	1225.2999380410	0.4622154511	-0.3040671530
40.783	361	0.1200116944	1224.0576281582	0.4621517934	-0.3040028992
40.810	362	0.1200226617	1222.8228284611	0.4620886124	-0.3039375725
40.837	363	0.1200333905	1221.5924097057	0.4620224513	-0.3038687887
40.865	364	0.1200444770	1220.3576100086	0.4619558133	-0.3037995281
40.896	365	0.1200569940	1219.1240620091	0.4618922747	-0.3037302675
40.923	366	0.1200678420	1217.8973983465	0.4618271865	-0.3036663713
40.952	367	0.1200795245	1216.6713605327	0.4617646016	-0.3035999717
40.979	368	0.1200901341	1215.4440710213	0.4616977252	-0.3035355987
41.000	369	0.1200985980	1214.2186590563	0.4616333521	-0.3034724178
41.033	370	0.1201118302	1213.0013831259	0.4615683831	-0.3034306945
41.060	371	0.1201225591	1211.7765970097	0.4615017451	-0.3033930244
41.084	372	0.1201322150	1210.5624503233	0.4614373721	-0.3033539238
41.120	373	0.1201467586	1209.3470519392	0.4613728798	-0.3033204259
41.148	374	0.1201579642	1208.1341569504	0.4613093413	-0.3032908620
41.175	375	0.1201686931	1206.9231395080	0.4612453259	-0.3032550993
41.196	376	0.1201771569	1205.7077411239	0.4611794031	-0.3032249393
41.224	377	0.1201881242	1204.5011046231	0.4611162222	-0.3031933488
